Genome	Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level
GCA_000288935.1_ASM28893v1_genomic.fna	Streptococcus agalactiae LMG 15091	LMG 15091	20122	SAMN00991128 	PRJNA86281	Terrabacteria group	Firmicutes	GCA_000288935.1 	2.0609	35.4	-	ALQX01	36	2086	1989	2012/08/15	2015/08/09	Contig
GCA_000288955.1_ASM28895v1_genomic.fna	Streptococcus agalactiae LMG 15092	LMG 15092	20122	SAMN00991125 	PRJNA86283	Terrabacteria group	Firmicutes	GCA_000288955.1 	2.04724	35.2	-	ALQY01	80	2108	1964	2012/08/15	2015/08/09	Contig
GCA_000288975.1_ASM28897v1_genomic.fna	Streptococcus agalactiae LMG 15093	LMG 15093	20122	SAMN00991129 	PRJNA86285	Terrabacteria group	Firmicutes	GCA_000288975.1 	2.1211	35.4	-	ALQZ01	121	2187	2044	2012/08/15	2015/08/09	Contig
GCA_000288995.1_ASM28899v1_genomic.fna	Streptococcus agalactiae LMG 15094	LMG 15094	20122	SAMN00991122 	PRJNA86287	Terrabacteria group	Firmicutes	GCA_000288995.1 	1.98171	35.2	-	ALRA01	35	1958	1866	2012/08/15	2015/08/09	Contig
GCA_000289015.1_ASM28901v1_genomic.fna	Streptococcus agalactiae LMG 15095	LMG 15095	20122	SAMN00991123 	PRJNA86289	Terrabacteria group	Firmicutes	GCA_000289015.1 	1.98674	35.3	-	ALRB01	33	1971	1875	2012/08/15	2015/08/09	Contig
GCA_000289055.1_ASM28905v1_genomic.fna	Streptococcus agalactiae BSU442	BSU442	20122	SAMN00991118 	PRJNA86301	Terrabacteria group	Firmicutes	GCA_000289055.1 	2.11562	35.6	-	ALRD01	84	2121	1966	2012/08/15	2015/08/09	Contig
GCA_000289075.1_ASM28907v1_genomic.fna	Streptococcus agalactiae BSU178	BSU178	20122	SAMN00991137 	PRJNA86315	Terrabacteria group	Firmicutes	GCA_000289075.1 	2.1925	35.6	-	ALRG01	62	2216	2099	2012/08/15	2015/08/09	Contig
GCA_000289115.1_ASM28911v1_genomic.fna	Streptococcus agalactiae STIR-CD-09	STIR-CD-09	20122	SAMN00993724 	PRJNA86351	Terrabacteria group	Firmicutes	GCA_000289115.1 	1.80663	35.2	-	ALRM01	46	1844	1668	2012/08/15	2015/08/09	Contig
GCA_000289155.1_ASM28915v1_genomic.fna	Streptococcus agalactiae STIR-CD-21	STIR-CD-21	20122	SAMN00993777 	PRJNA86357	Terrabacteria group	Firmicutes	GCA_000289155.1 	2.14569	35.6	-	ALRO01	53	2135	2043	2012/08/15	2015/08/09	Contig
GCA_000289175.1_ASM28917v1_genomic.fna	Streptococcus agalactiae STIR-CD-22	STIR-CD-22	20122	SAMN00993718 	PRJNA86359	Terrabacteria group	Firmicutes	GCA_000289175.1 	2.13568	35.6	-	ALRP01	54	2115	2027	2012/08/15	2015/08/09	Contig
GCA_000289195.1_ASM28919v1_genomic.fna	Streptococcus agalactiae STIR-CD-23	STIR-CD-23	20122	SAMN00993454 	PRJNA86361	Terrabacteria group	Firmicutes	GCA_000289195.1 	2.02633	35.3	-	ALRQ01	50	2027	1952	2012/08/15	2015/08/09	Contig
GCA_000289235.1_ASM28923v1_genomic.fna	Streptococcus agalactiae STIR-CD-27	STIR-CD-27	20122	SAMN00993658 	PRJNA86369	Terrabacteria group	Firmicutes	GCA_000289235.1 	2.03079	35.3	-	ALRS01	44	2032	1956	2012/08/15	2015/08/09	Contig
GCA_000289255.1_ASM28925v1_genomic.fna	Streptococcus agalactiae STIR-CD-28	STIR-CD-28	20122	SAMN00993773 	PRJNA86371	Terrabacteria group	Firmicutes	GCA_000289255.1 	2.03496	35.3	-	ALRT01	41	2034	1958	2012/08/15	2015/08/09	Contig
GCA_000289275.1_ASM28927v1_genomic.fna	Streptococcus agalactiae LMG 14608	LMG 14608	20122	SAMN00993347 	PRJNA86375	Terrabacteria group	Firmicutes	GCA_000289275.1 	2.07534	35.4	-	ALRU01	141	2135	1936	2012/08/15	2015/08/09	Contig
GCA_000289295.1_ASM28929v1_genomic.fna	Streptococcus agalactiae LMG 14609	LMG 14609	20122	SAMN01091760 	PRJNA86377	Terrabacteria group	Firmicutes	GCA_000289295.1 	2.20423	35.3	-	ALRV01	119	2249	2024	2012/08/15	2015/08/18	Contig
GCA_000289315.1_ASM28931v1_genomic.fna	Streptococcus agalactiae MRI Z1-012	MRI Z1-012	20122	SAMN00993343 	PRJNA86385	Terrabacteria group	Firmicutes	GCA_000289315.1 	2.08589	35.3	-	ALRX01	55	2101	1996	2012/08/15	2015/08/09	Contig
GCA_000289335.2_sag142_v2.0_genomic.fna	Streptococcus agalactiae MRI Z1-024	MRI Z1-024	20122	SAMN00993341 	PRJNA86391	Terrabacteria group	Firmicutes	GCA_000289335.2 	2.01634	35.2	-	ALRY02	62	2027	1920	2012/08/15	2015/08/10	Contig
GCA_000289355.2_sag145_v2.0_genomic.fna	Streptococcus agalactiae MRI Z1-038	MRI Z1-038	20122	SAMN00993339 	PRJNA86397	Terrabacteria group	Firmicutes	GCA_000289355.2 	2.07904	35.3	-	ALRZ02	38	2088	2001	2012/08/15	2015/08/10	Contig
GCA_000289395.1_ASM28939v1_genomic.fna	Streptococcus agalactiae MRI Z1-214	MRI Z1-214	20122	SAMN00993331 	PRJNA86413	Terrabacteria group	Firmicutes	GCA_000289395.1 	2.2988	35.4	-	ALSE01	107	2384	2183	2012/08/15	2015/08/14	Contig
GCA_000289415.1_ASM28941v1_genomic.fna	Streptococcus agalactiae MRI Z1-216	MRI Z1-216	20122	SAMN00993330 	PRJNA86417	Terrabacteria group	Firmicutes	GCA_000289415.1 	2.38905	35.7	-	ALSF01	86	2429	2247	2012/08/15	2015/08/14	Contig
GCA_000289435.1_ASM28943v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 1005B	Gottschalk 1005B	20122	SAMN00991146 	PRJNA86441	Terrabacteria group	Firmicutes	GCA_000289435.1 	2.12523	35.3	-	ALSJ01	60	2130	2013	2012/08/15	2015/08/09	Contig
GCA_000289475.1_ASM28947v1_genomic.fna	Streptococcus agalactiae GB00002	GB00002	20122	SAMN00991164 	PRJNA86455	Terrabacteria group	Firmicutes	GCA_000289475.1 	1.96875	35.1	-	ALSL01	15	1946	1879	2012/08/15	2015/08/09	Contig
GCA_000289495.1_ASM28949v1_genomic.fna	Streptococcus agalactiae GB00097	GB00097	20122	SAMN00991150 	PRJNA86475	Terrabacteria group	Firmicutes	GCA_000289495.1 	2.01199	35.2	-	ALSV01	31	1999	1906	2012/08/15	2015/08/09	Contig
GCA_000289515.1_ASM28951v1_genomic.fna	Streptococcus agalactiae GB00202	GB00202	20122	SAMN00991147 	PRJNA86485	Terrabacteria group	Firmicutes	GCA_000289515.1 	2.04083	35.3	-	ALTA01	27	2035	1967	2012/08/15	2015/08/09	Contig
GCA_000289535.1_ASM28953v1_genomic.fna	Streptococcus agalactiae GB00206	GB00206	20122	SAMN00991148 	PRJNA86487	Terrabacteria group	Firmicutes	GCA_000289535.1 	2.18132	35.5	-	ALTB01	33	2169	2082	2012/08/15	2015/08/09	Contig
GCA_000289555.1_ASM28955v1_genomic.fna	Streptococcus agalactiae GB00219	GB00219	20122	SAMN00991188 	PRJNA86489	Terrabacteria group	Firmicutes	GCA_000289555.1 	2.06324	35.3	-	ALTC01	25	2074	2017	2012/08/15	2015/08/02	Contig
GCA_000289575.1_ASM28957v1_genomic.fna	Streptococcus agalactiae GB00300	GB00300	20122	SAMN00991182 	PRJNA86503	Terrabacteria group	Firmicutes	GCA_000289575.1 	2.17102	35.4	-	ALTJ01	37	2191	2084	2012/08/15	2015/08/09	Contig
GCA_000289595.1_ASM28959v1_genomic.fna	Streptococcus agalactiae GB00867	GB00867	20122	SAMN00991431 	PRJNA86539	Terrabacteria group	Firmicutes	GCA_000289595.1 	2.04019	35.2	-	ALUB01	23	2031	1962	2012/08/15	2015/08/09	Contig
GCA_000289615.1_ASM28961v1_genomic.fna	Streptococcus agalactiae GB00874	GB00874	20122	SAMN00991451 	PRJNA86541	Terrabacteria group	Firmicutes	GCA_000289615.1 	2.14857	35.4	-	ALUC01	40	2176	2087	2012/08/15	2015/08/09	Contig
GCA_000289635.1_ASM28963v1_genomic.fna	Streptococcus agalactiae GB00884	GB00884	20122	SAMN00991432 	PRJNA86543	Terrabacteria group	Firmicutes	GCA_000289635.1 	2.09523	35.2	-	ALUD01	34	2088	2021	2012/08/15	2015/08/09	Contig
GCA_000289655.1_ASM28965v1_genomic.fna	Streptococcus agalactiae GB00887	GB00887	20122	SAMN00991406 	PRJNA86545	Terrabacteria group	Firmicutes	GCA_000289655.1 	2.01181	35.2	-	ALUE01	22	2018	1943	2012/08/15	2015/08/09	Contig
GCA_000289675.1_ASM28967v1_genomic.fna	Streptococcus agalactiae GB00888	GB00888	20122	SAMN00991407 	PRJNA86547	Terrabacteria group	Firmicutes	GCA_000289675.1 	2.02013	35.4	-	ALUF01	43	2008	1925	2012/08/15	2015/08/09	Contig
GCA_000289695.1_ASM28969v1_genomic.fna	Streptococcus agalactiae GB00899	GB00899	20122	SAMN00991438 	PRJNA86557	Terrabacteria group	Firmicutes	GCA_000289695.1 	2.06924	35.3	-	ALUJ01	233	2176	1972	2012/08/15	2015/08/09	Contig
GCA_000289715.1_ASM28971v1_genomic.fna	Streptococcus agalactiae GB00986	GB00986	20122	SAMN00991439 	PRJNA86607	Terrabacteria group	Firmicutes	GCA_000289715.1 	1.96438	35.2	-	ALVA01	107	1982	1866	2012/08/15	2015/08/09	Contig
GCA_000289735.1_ASM28973v1_genomic.fna	Streptococcus agalactiae GB00992	GB00992	20122	SAMN00991440 	PRJNA86609	Terrabacteria group	Firmicutes	GCA_000289735.1 	1.96107	35.2	-	ALVB01	138	2006	1848	2012/08/15	2015/08/18	Contig
GCA_000289755.1_ASM28975v1_genomic.fna	Streptococcus agalactiae FSL C1-494	FSL C1-494	20122	SAMN00993327 	PRJNA86157	Terrabacteria group	Firmicutes	GCA_000289755.1 	2.21323	35.5	-	ALQD01	92	2241	2076	2012/08/15	2015/08/09	Contig
GCA_000289775.1_ASM28977v1_genomic.fna	Streptococcus agalactiae FSL S3-277	FSL S3-277	20122	SAMN00993314 	PRJNA86153	Terrabacteria group	Firmicutes	GCA_000289775.1 	2.32219	36	-	ALQC01	91	2299	2058	2012/08/15	2015/08/09	Contig
GCA_000289795.1_ASM28979v1_genomic.fna	Streptococcus agalactiae FSL S3-501	FSL S3-501	20122	SAMN00993321 	PRJNA86167	Terrabacteria group	Firmicutes	GCA_000289795.1 	2.15416	35.5	-	ALQE01	145	2248	2006	2012/08/15	2015/08/09	Contig
GCA_000289815.1_ASM28981v1_genomic.fna	Streptococcus agalactiae FSL S3-603	FSL S3-603	20122	SAMN00993452 	PRJNA86169	Terrabacteria group	Firmicutes	GCA_000289815.1 	2.20827	35.6	-	ALQF01	105	2260	2088	2012/08/15	2015/08/09	Contig
GCA_000289835.1_ASM28983v1_genomic.fna	Streptococcus agalactiae FSL S3-170	FSL S3-170	20122	SAMN00993311 	PRJNA86175	Terrabacteria group	Firmicutes	GCA_000289835.1 	2.24851	35.5	-	ALQG01	103	2281	2079	2012/08/15	2015/07/30	Contig
GCA_000289855.1_ASM28985v1_genomic.fna	Streptococcus agalactiae FSL S3-337	FSL S3-337	20122	SAMN00991083 	PRJNA86181	Terrabacteria group	Firmicutes	GCA_000289855.1 	2.10074	35.2	-	ALQH01	46	2102	2017	2012/08/15	2015/08/09	Contig
GCA_000289875.1_ASM28987v1_genomic.fna	Streptococcus agalactiae FSL F2-343	FSL F2-343	20122	SAMN00991077 	PRJNA86191	Terrabacteria group	Firmicutes	GCA_000289875.1 	2.12763	35.4	-	ALQI01	17	2118	2051	2012/08/15	2015/08/09	Contig
GCA_000289895.1_ASM28989v1_genomic.fna	Streptococcus agalactiae BSU247	BSU247	20122	SAMN00991115 	PRJNA86305	Terrabacteria group	Firmicutes	GCA_000289895.1 	2.09197	35.2	-	ALRE01	17	2072	1969	2012/08/15	2015/08/09	Contig
GCA_000289915.1_ASM28991v1_genomic.fna	Streptococcus agalactiae FSL S3-003	FSL S3-003	20122	SAMN00991073 	PRJNA86203	Terrabacteria group	Firmicutes	GCA_000289915.1 	2.11372	35.3	-	ALQJ01	32	2110	2038	2012/08/15	2015/08/09	Contig
GCA_000289935.1_ASM28993v1_genomic.fna	Streptococcus agalactiae BSU188	BSU188	20122	SAMN00991127 	PRJNA86311	Terrabacteria group	Firmicutes	GCA_000289935.1 	2.15932	35.2	-	ALRF01	131	2196	2067	2012/08/15	2015/08/09	Contig
GCA_000289955.1_ASM28995v1_genomic.fna	Streptococcus agalactiae BSU96	BSU96	20122	SAMN00991132 	PRJNA86317	Terrabacteria group	Firmicutes	GCA_000289955.1 	2.08405	35.3	-	ALRH01	32	2093	2003	2012/08/15	2015/08/09	Contig
GCA_000289975.1_ASM28997v1_genomic.fna	Streptococcus agalactiae BSU165	BSU165	20122	SAMN00991133 	PRJNA86319	Terrabacteria group	Firmicutes	GCA_000289975.1 	2.16901	35.3	-	ALRI01	30	2174	2090	2012/08/15	2015/08/09	Contig
GCA_000289995.1_ASM28999v1_genomic.fna	Streptococcus agalactiae BSU92	BSU92	20122	SAMN00991135 	PRJNA86323	Terrabacteria group	Firmicutes	GCA_000289995.1 	2.06533	35.3	-	ALRJ01	18	2098	2030	2012/08/15	2015/08/09	Contig
GCA_000290015.1_ASM29001v1_genomic.fna	Streptococcus agalactiae BSU108	BSU108	20122	SAMN00991130 	PRJNA86325	Terrabacteria group	Firmicutes	GCA_000290015.1 	2.09872	35.4	-	ALRK01	24	2090	1983	2012/08/15	2015/08/09	Contig
GCA_000290035.1_ASM29003v1_genomic.fna	Streptococcus agalactiae GB00084	GB00084	20122	SAMN00991157 	PRJNA86471	Terrabacteria group	Firmicutes	GCA_000290035.1 	2.03806	35.3	-	ALST01	20	2045	1966	2012/08/15	2015/08/09	Contig
GCA_000290055.1_ASM29005v1_genomic.fna	Streptococcus agalactiae GB00092	GB00092	20122	SAMN00991149 	PRJNA86473	Terrabacteria group	Firmicutes	GCA_000290055.1 	2.20414	35.4	-	ALSU01	47	2182	2090	2012/08/15	2015/08/09	Contig
GCA_000290075.1_ASM29007v1_genomic.fna	Streptococcus agalactiae GB00111	GB00111	20122	SAMN00991151 	PRJNA86477	Terrabacteria group	Firmicutes	GCA_000290075.1 	2.09566	35.4	-	ALSW01	34	2085	1976	2012/08/15	2015/08/09	Contig
GCA_000290095.1_ASM29009v1_genomic.fna	Streptococcus agalactiae GB00115	GB00115	20122	SAMN00991152 	PRJNA86479	Terrabacteria group	Firmicutes	GCA_000290095.1 	1.98502	35.3	-	ALSX01	35	1973	1870	2012/08/15	2015/08/09	Contig
GCA_000290115.1_ASM29011v1_genomic.fna	Streptococcus agalactiae GB00174	GB00174	20122	SAMN00991155 	PRJNA86481	Terrabacteria group	Firmicutes	GCA_000290115.1 	2.08329	35.6	-	ALSY01	74	2068	1947	2012/08/15	2015/08/09	Contig
GCA_000290135.1_ASM29013v1_genomic.fna	Streptococcus agalactiae GB00190	GB00190	20122	SAMN00991153 	PRJNA86483	Terrabacteria group	Firmicutes	GCA_000290135.1 	1.97033	35.2	-	ALSZ01	20	1947	1884	2012/08/15	2015/08/09	Contig
GCA_000290155.1_ASM29015v1_genomic.fna	Streptococcus agalactiae GB00535	GB00535	20122	SAMN00991183 	PRJNA86505	Terrabacteria group	Firmicutes	GCA_000290155.1 	2.02862	35.2	-	ALTK01	24	2025	1955	2012/08/15	2015/08/09	Contig
GCA_000290175.1_ASM29017v1_genomic.fna	Streptococcus agalactiae GB00543	GB00543	20122	SAMN00991179 	PRJNA86507	Terrabacteria group	Firmicutes	GCA_000290175.1 	2.12684	35.3	-	ALTL01	37	2122	2037	2012/08/15	2015/08/09	Contig
GCA_000290195.1_ASM29019v1_genomic.fna	Streptococcus agalactiae GB00548	GB00548	20122	SAMN01091759 	PRJNA86509	Terrabacteria group	Firmicutes	GCA_000290195.1 	2.03595	35.3	-	ALTM01	16	2022	1951	2012/08/15	2015/08/09	Contig
GCA_000290215.1_ASM29021v1_genomic.fna	Streptococcus agalactiae GB00891	GB00891	20122	SAMN00991405 	PRJNA86549	Terrabacteria group	Firmicutes	GCA_000290215.1 	2.03105	35.3	-	ALUG01	35	2015	1912	2012/08/15	2015/08/09	Contig
GCA_000290235.1_ASM29023v1_genomic.fna	Streptococcus agalactiae GB00555	GB00555	20122	SAMN00991178 	PRJNA86511	Terrabacteria group	Firmicutes	GCA_000290235.1 	2.08716	35.2	-	ALTN01	29	2084	2009	2012/08/15	2015/08/09	Contig
GCA_000290255.1_ASM29025v1_genomic.fna	Streptococcus agalactiae GB00557	GB00557	20122	SAMN00991176 	PRJNA86513	Terrabacteria group	Firmicutes	GCA_000290255.1 	2.03891	35.3	-	ALTO01	36	2038	1938	2012/08/15	2015/08/09	Contig
GCA_000290275.1_ASM29027v1_genomic.fna	Streptococcus agalactiae GB00561	GB00561	20122	SAMN00991177 	PRJNA86515	Terrabacteria group	Firmicutes	GCA_000290275.1 	2.19553	35.5	-	ALTP01	44	2225	2148	2012/08/15	2015/08/09	Contig
GCA_000290295.1_ASM29029v1_genomic.fna	Streptococcus agalactiae GB00588	GB00588	20122	SAMN00991175 	PRJNA86517	Terrabacteria group	Firmicutes	GCA_000290295.1 	2.06022	35.2	-	ALTQ01	20	2025	1964	2012/08/15	2015/08/09	Contig
GCA_000290315.1_ASM29031v1_genomic.fna	Streptococcus agalactiae GB00601	GB00601	20122	SAMN00991174 	PRJNA86519	Terrabacteria group	Firmicutes	GCA_000290315.1 	2.03878	35.2	-	ALTR01	21	2038	1967	2012/08/15	2015/08/09	Contig
GCA_000290335.1_ASM29033v1_genomic.fna	Streptococcus agalactiae GB00614	GB00614	20122	SAMN00991173 	PRJNA86521	Terrabacteria group	Firmicutes	GCA_000290335.1 	2.14788	35.2	-	ALTS01	37	2117	2037	2012/08/15	2015/08/09	Contig
GCA_000290355.1_ASM29035v1_genomic.fna	Streptococcus agalactiae GB00640	GB00640	20122	SAMN00991172 	PRJNA86523	Terrabacteria group	Firmicutes	GCA_000290355.1 	2.0771	35.3	-	ALTT01	17	2074	2005	2012/08/15	2015/08/09	Contig
GCA_000290375.1_ASM29037v1_genomic.fna	Streptococcus agalactiae GB00651	GB00651	20122	SAMN00991170 	PRJNA86525	Terrabacteria group	Firmicutes	GCA_000290375.1 	2.0724	35.3	-	ALTU01	31	2086	2019	2012/08/15	2015/08/09	Contig
GCA_000290395.1_ASM29039v1_genomic.fna	Streptococcus agalactiae GB00654	GB00654	20122	SAMN00991169 	PRJNA86529	Terrabacteria group	Firmicutes	GCA_000290395.1 	2.03531	35.3	-	ALTW01	32	2057	1958	2012/08/15	2015/08/09	Contig
GCA_000290415.1_ASM29041v1_genomic.fna	Streptococcus agalactiae GB00653	GB00653	20122	SAMN00991171 	PRJNA86527	Terrabacteria group	Firmicutes	GCA_000290415.1 	2.17227	35.3	-	ALTV01	43	2184	2124	2012/08/15	2015/08/09	Contig
GCA_000290435.1_ASM29043v1_genomic.fna	Streptococcus agalactiae GB00663	GB00663	20122	SAMN00991167 	PRJNA86531	Terrabacteria group	Firmicutes	GCA_000290435.1 	2.13255	35.3	-	ALTX01	38	2127	2050	2012/08/15	2015/08/09	Contig
GCA_000290455.1_ASM29045v1_genomic.fna	Streptococcus agalactiae GB00864	GB00864	20122	SAMN00991166 	PRJNA86535	Terrabacteria group	Firmicutes	GCA_000290455.1 	2.03793	35.2	-	ALTZ01	39	2053	1951	2012/08/15	2015/08/09	Contig
GCA_000290475.1_ASM29047v1_genomic.fna	Streptococcus agalactiae GB00679	GB00679	20122	SAMN00991168 	PRJNA86533	Terrabacteria group	Firmicutes	GCA_000290475.1 	2.0185	35.3	-	ALTY01	40	2011	1915	2012/08/15	2015/08/09	Contig
GCA_000290495.1_ASM29049v1_genomic.fna	Streptococcus agalactiae GB00865	GB00865	20122	SAMN00991165 	PRJNA86537	Terrabacteria group	Firmicutes	GCA_000290495.1 	2.20426	35.3	-	ALUA01	45	2232	2145	2012/08/15	2015/08/09	Contig
GCA_000290515.1_ASM29051v1_genomic.fna	Streptococcus agalactiae GB00893	GB00893	20122	SAMN00993715 	PRJNA86551	Terrabacteria group	Firmicutes	GCA_000290515.1 	2.08855	35.1	-	ALUH01	31	2077	2002	2012/08/15	2015/08/09	Contig
GCA_000290535.1_ASM29053v1_genomic.fna	Streptococcus agalactiae GB00897	GB00897	20122	SAMN00991437 	PRJNA86555	Terrabacteria group	Firmicutes	GCA_000290535.1 	2.04472	35	-	ALUI01	284	2129	1921	2012/08/15	2015/08/09	Contig
GCA_000291585.1_ASM29158v1_genomic.fna	Streptococcus agalactiae GB00112	GB00112	20122	SAMN01084069 	PRJNA161909	Terrabacteria group	Firmicutes	GCA_000291585.1 	2.03305	35.2	-	AKXO01	56	1988	1928	2012/08/17	2015/08/09	Contig
GCA_000310265.1_ASM31026v1_genomic.fna	Streptococcus agalactiae LDS 623	LDS 623	20122	SAMN00993323 	PRJNA86429	Terrabacteria group	Firmicutes	GCA_000310265.1 	2.08495	35.5	-	ANEX01	129	2208	1998	2012/11/07	2015/08/09	Contig
GCA_000310285.1_ASM31028v1_genomic.fna	Streptococcus agalactiae FSL C1-487	FSL C1-487	20122	SAMN00993351 	PRJNA86131	Terrabacteria group	Firmicutes	GCA_000310285.1 	2.23437	35.5	-	ANCK01	124	2246	2119	2012/11/07	2015/08/09	Contig
GCA_000310305.1_ASM31030v1_genomic.fna	Streptococcus agalactiae STIR-CD-14	STIR-CD-14	20122	SAMN00993722 	PRJNA86355	Terrabacteria group	Firmicutes	GCA_000310305.1 	2.06423	35.2	-	ANEJ01	25	2089	2012	2012/11/07	2015/08/09	Contig
GCA_000310325.1_ASM31032v1_genomic.fna	Streptococcus agalactiae STIR-CD-26	STIR-CD-26	20122	SAMN00993656 	PRJNA86367	Terrabacteria group	Firmicutes	GCA_000310325.1 	2.02864	35.3	-	ANEL01	44	2030	1954	2012/11/07	2015/08/09	Contig
GCA_000310345.1_ASM31034v1_genomic.fna	Streptococcus agalactiae MRI Z1-049	MRI Z1-049	20122	SAMN00993334 	PRJNA86403	Terrabacteria group	Firmicutes	GCA_000310345.1 	2.0364	35.2	-	ANER01	200	2148	1906	2012/11/07	2015/07/30	Contig
GCA_000310365.1_ASM31036v1_genomic.fna	Streptococcus agalactiae FSL S3-586	FSL S3-586	20122	SAMN00993335 	PRJNA86143	Terrabacteria group	Firmicutes	GCA_000310365.1 	2.38072	35.5	-	ANCM01	103	2479	2251	2012/11/07	2015/08/18	Contig
GCA_000310385.1_ASM31038v1_genomic.fna	Streptococcus agalactiae MRI Z1-219	MRI Z1-219	20122	SAMN00993315 	PRJNA86423	Terrabacteria group	Firmicutes	GCA_000310385.1 	2.08762	35.2	-	ANEV01	26	2098	2017	2012/11/07	2015/08/09	Contig
GCA_000310405.1_ASM31040v1_genomic.fna	Streptococcus agalactiae str. Gottschalk 1002A	Gottschalk 1002A	20122	SAMN00991126 	PRJNA86437	Terrabacteria group	Firmicutes	GCA_000310405.1 	2.07091	35.3	-	ANEY01	25	2058	1985	2012/11/07	2015/08/09	Contig
GCA_000310425.1_ASM31042v1_genomic.fna	Streptococcus agalactiae FSL S3-251	FSL S3-251	20122	SAMN00993328 	PRJNA86163	Terrabacteria group	Firmicutes	GCA_000310425.1 	2.22845	35.5	-	ANCO01	128	2353	2138	2012/11/07	2015/08/14	Contig
GCA_000310445.1_ASM31044v1_genomic.fna	Streptococcus agalactiae FSL S3-102	FSL S3-102	20122	SAMN00991076 	PRJNA86187	Terrabacteria group	Firmicutes	GCA_000310445.1 	1.99187	35.3	-	ANCS01	35	1982	1883	2012/11/07	2015/08/14	Contig
GCA_000310465.1_ASM31046v1_genomic.fna	Streptococcus agalactiae FSL S3-005	FSL S3-005	20122	SAMN00991071 	PRJNA86199	Terrabacteria group	Firmicutes	GCA_000310465.1 	2.06739	35.3	-	ANCW01	79	2100	1997	2012/11/07	2015/08/09	Contig
GCA_000310485.1_ASM31048v1_genomic.fna	Streptococcus agalactiae CCUG 29782	CCUG 29782	20122	SAMN00991062 	PRJNA86219	Terrabacteria group	Firmicutes	GCA_000310485.1 	2.11286	35.3	-	ANDC01	24	2102	2048	2012/11/07	2015/08/09	Contig
GCA_000310505.1_ASM31050v1_genomic.fna	Streptococcus agalactiae CCUG 44074	CCUG 44074	20122	SAMN00991102 	PRJNA86245	Terrabacteria group	Firmicutes	GCA_000310505.1 	2.02954	35.2	-	ANDI01	23	2024	1956	2012/11/07	2015/08/09	Contig
GCA_000310525.1_ASM31052v1_genomic.fna	Streptococcus agalactiae CCUG 44110	CCUG 44110	20122	SAMN00991094 	PRJNA86251	Terrabacteria group	Firmicutes	GCA_000310525.1 	2.07588	35.3	-	ANDK01	35	2089	2013	2012/11/07	2015/08/09	Contig
GCA_000310545.1_ASM31054v1_genomic.fna	Streptococcus agalactiae LMG 15090	LMG 15090	20122	SAMN00991124 	PRJNA86279	Terrabacteria group	Firmicutes	GCA_000310545.1 	2.05724	35.2	-	ANDW01	24	2070	2001	2012/11/07	2015/08/09	Contig
GCA_000310565.1_ASM31056v1_genomic.fna	Streptococcus agalactiae FSL S3-026	FSL S3-026	20122	SAMN00993654 	PRJNA86139	Terrabacteria group	Firmicutes	GCA_000310565.1 	2.25443	35.6	-	ANCL01	125	2357	2118	2012/11/07	2015/08/09	Contig
GCA_000310585.1_ASM31058v1_genomic.fna	Streptococcus agalactiae CCUG 28551	CCUG 28551	20122	SAMN00991061 	PRJNA86215	Terrabacteria group	Firmicutes	GCA_000310585.1 	2.08563	35.3	-	ANDA01	113	2153	2012	2012/11/07	2015/08/09	Contig
GCA_000310605.1_ASM31060v1_genomic.fna	Streptococcus agalactiae CCUG 37736	CCUG 37736	20122	SAMN00991056 	PRJNA86225	Terrabacteria group	Firmicutes	GCA_000310605.1 	2.04856	35.2	-	ANDE01	40	2053	1958	2012/11/07	2015/08/09	Contig
GCA_000310625.1_ASM31062v1_genomic.fna	Streptococcus agalactiae BSU174	BSU174	20122	SAMN00991134 	PRJNA86321	Terrabacteria group	Firmicutes	GCA_000310625.1 	2.00236	35.3	-	ANEF01	33	2029	1948	2012/11/07	2015/08/09	Contig
GCA_000310645.1_ASM31064v1_genomic.fna	Streptococcus agalactiae MRI Z1-198	MRI Z1-198	20122	SAMN00993779 	PRJNA86329	Terrabacteria group	Firmicutes	GCA_000310645.1 	2.04925	35.2	-	ANEG01	25	2053	1992	2012/11/07	2015/08/09	Contig
GCA_000310665.1_ASM31066v1_genomic.fna	Streptococcus agalactiae MRI Z1-199	MRI Z1-199	20122	SAMN00993455 	PRJNA86331	Terrabacteria group	Firmicutes	GCA_000310665.1 	2.02446	35.4	-	ANEH01	25	2025	1948	2012/11/07	2015/08/09	Contig
GCA_000310685.1_ASM31068v1_genomic.fna	Streptococcus agalactiae MRI Z1-022	MRI Z1-022	20122	SAMN00993345 	PRJNA86387	Terrabacteria group	Firmicutes	GCA_000310685.1 	2.22581	35.4	-	ANEM01	76	2263	2140	2012/11/07	2015/08/09	Contig
GCA_000310705.1_ASM31070v1_genomic.fna	Streptococcus agalactiae MRI Z1-035	MRI Z1-035	20122	SAMN00993340 	PRJNA86395	Terrabacteria group	Firmicutes	GCA_000310705.1 	2.13538	35.3	-	ANEP01	43	2140	2058	2012/11/07	2015/08/09	Contig
