Fasta	Genome	contig	Start	Stop	protID	name	url
GCA-000427055-protein1616.fasta	GCA_000427055	HF952106.1	1639679	1640378	1616		
GCA-000599965-protein1842.fasta	GCA_000599965	CP007482.1	1818903	1820385	1842	Inosine-5'-monophosphate dehydrogenase	http://purl.uniprot.org/uniprot/E7S187
GCA-000730215-protein3983.fasta	GCA_000730215	CP007631.2	2044774	2045131	3983	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EJX7
GCA-000730215-protein3298.fasta	GCA_000730215	CP007631.2	1354182	1356762	3298	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EI01
GCA-001026925-protein945.fasta	GCA_001026925	CP010867.1	1004354	1006310	945	ABC transporter permease	http://purl.uniprot.org/uniprot/A0A0E1EH51
GCA-000831145-protein604.fasta	GCA_000831145	CP007570.1	644607	646746	604	Alanine racemase	http://purl.uniprot.org/uniprot/Q6WRY3
GCA-000012705-protein3985.fasta	GCA_000012705	CP000114.1	1946623	1947214	3985	Glutamine amidotransferase	http://purl.uniprot.org/uniprot/A0A0H1GFB9
GCA-001275545-protein2405.fasta	GCA_001275545	CP012419.2	493602	494775	2405	galactokinase	http://purl.uniprot.org/uniparc/UPI00005C8293
GCA-001275545-protein2105.fasta	GCA_001275545	CP012419.2	179625	180858	2105	Cysteine desulfurase	http://purl.uniprot.org/uniprot/A0A1J7VKA5
GCA-000782855-protein2561.fasta	GCA_000782855	CP006910.1	588158	589352	2561	CHAP domain-containing protein	http://purl.uniprot.org/uniparc/UPI0002B950EF
GCA-001190805-protein2589.fasta	GCA_001190805	CP011325.1	606220	607426	2589	Cell cycle protein FtsW	http://purl.uniprot.org/uniprot/F8XZ36
GCA-000196055-protein1304.fasta	GCA_000196055	AL732656.1	1346464	1346755	1304	Transposase	http://purl.uniprot.org/uniprot/A0A1J7UWU2
GCA-001266635-protein799.fasta	GCA_001266635	CP010319.1	844633	846019	799		
GCA-000012705-protein3991.fasta	GCA_000012705	CP000114.1	1950554	1950881	3991	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0H1K6S8
GCA-000007265-protein578.fasta	GCA_000007265	AE009948.1	584577	584823	578	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1F0CHW4
GCA-001026925-protein245.fasta	GCA_001026925	CP010867.1	257510	258437	245	Glycine/betaine ABC transporter substrate-binding protein	http://purl.uniprot.org/uniprot/A0A1F0CEE4
GCA-000427075-protein2682.fasta	GCA_000427075	HF952105.1	661449	663426	2682	phage hyaluronidase	http://purl.uniprot.org/uniparc/UPI000332DDEA
GCA-000007265-protein865.fasta	GCA_000007265	AE009948.1	894203	895055	865	Diadenylate cyclase	http://purl.uniprot.org/uniprot/E7S4N2
GCA-000689235-protein1650.fasta	GCA_000689235	HG939456.1	1725608	1726274	1650	Orotidine 5'-phosphate decarboxylase/HUMPS family	http://purl.uniprot.org/uniprot/E7S2E6
GCA-000967445-protein3461.fasta	GCA_000967445	FO393392.1	1310647	1310863	3461	UPF0346 protein SAK_1533	http://purl.uniprot.org/uniprot/Q3K014
GCA-001552035-protein2799.fasta	GCA_001552035	CP012480.1	740639	742496	2799	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1S1FFC0
GCA-001592385-protein15.fasta	GCA_001592385	CP010874.1	19252	20152	15	zoocin A	http://purl.uniprot.org/uniparc/UPI0002DED737
GCA-001592385-protein459.fasta	GCA_001592385	CP010874.1	456817	457309	459	AraC family transcriptional regulator	http://purl.uniprot.org/uniparc/UPI00005C85E3
GCA-001592385-protein535.fasta	GCA_001592385	CP010874.1	527472	529314	535	GTP-binding protein TypABipA	http://purl.uniprot.org/uniprot/A0A0H1THE3
GCA-001655175-protein1033.fasta	GCA_001655175	CP015976.1	1040613	1041555	1033	glycosyl transferase family 2	http://purl.uniprot.org/uniparc/UPI00028D0E5F
GCA-000599965-protein736.fasta	GCA_000599965	CP007482.1	740740	742834	736		
GCA-001275545-protein1987.fasta	GCA_001275545	CP012419.2	83005	83692	1987	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0006AC86F8
GCA-000689235-protein1738.fasta	GCA_000689235	HG939456.1	1822410	1822914	1738	PTS sorbose transporter subunit IIB	http://purl.uniprot.org/uniprot/A0A1J7VHF4
GCA-000782855-protein2343.fasta	GCA_000782855	CP006910.1	383627	384380	2343	VirB6 domain protein	http://purl.uniprot.org/uniprot/S4W747
GCA-001592385-protein1496.fasta	GCA_001592385	CP010874.1	1532454	1534257	1496	Endolytic murein transglycosylase	http://purl.uniprot.org/uniprot/S9DHX1
GCA-001592425-protein2509.fasta	GCA_001592425	CP010875.1	471297	472371	2509	PDZ domain-containing protein	http://purl.uniprot.org/uniparc/UPI0002BAAF7C
GCA-001592385-protein969.fasta	GCA_001592385	CP010874.1	999010	999772	969	Ribonuclease HII	http://purl.uniprot.org/uniprot/Q3K175
GCA-001275545-protein3719.fasta	GCA_001275545	CP012419.2	1837950	1838295	3719	Putative bacteriocin transport accessory protein	http://purl.uniprot.org/uniprot/E7S220
GCA-000427075-protein3310.fasta	GCA_000427075	HF952105.1	1302356	1302668	3310	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00059AF630
GCA-001592385-protein1749.fasta	GCA_001592385	CP010874.1	1792923	1793568	1749	Crp/Fnr family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A0E1EJT0
GCA-000007265-protein1538.fasta	GCA_000007265	AE009948.1	1590343	1590934	1538	ATP-dependent Clp protease proteolytic subunit	http://purl.uniprot.org/uniprot/Q3JZV0
GCA-001190885-protein2093.fasta	GCA_001190885	CP011329.1	254926	256060	2093	Integrase	http://purl.uniprot.org/uniprot/A0A1F1CJA3
GCA-000730255-protein223.fasta	GCA_000730255	CP007632.1	243379	243910	223	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BAACC2
GCA-000967445-protein2480.fasta	GCA_000967445	FO393392.1	348937	349333	2480	Single-stranded DNA-binding protein	http://purl.uniprot.org/uniprot/E7S6U0
GCA-000599965-protein273.fasta	GCA_000599965	CP007482.1	275905	276847	273	Branched-chain amino acid ABC transporter, permease protein	http://purl.uniprot.org/uniprot/E7S706
GCA-000689235-protein1128.fasta	GCA_000689235	HG939456.1	1194718	1195216	1128	Phage tail protein	http://purl.uniprot.org/uniprot/X5K227
GCA-000599965-protein53.fasta	GCA_000599965	CP007482.1	62696	62921	53	Membrane protein	http://purl.uniprot.org/uniprot/S8G8G8
GCA-000730255-protein1211.fasta	GCA_000730255	CP007632.1	1257875	1261346	1211	YSIRK signal domain/LPXTG anchor domain surface protein	http://purl.uniprot.org/uniparc/UPI0004D13BDA
GCA-000007265-protein73.fasta	GCA_000007265	AE009948.1	84664	85159	73	30S ribosomal protein S5	http://purl.uniprot.org/uniprot/Q3K3V2
GCA-000196055-protein1146.fasta	GCA_000196055	AL732656.1	1190475	1191186	1146	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y0M7
GCA-000599965-protein5.fasta	GCA_000599965	CP007482.1	4581	5697	5	Ribosome-binding ATPase YchF	http://purl.uniprot.org/uniprot/F8Y406
GCA-001655175-protein1002.fasta	GCA_001655175	CP015976.1	1010046	1010811	1002		
GCA-000967445-protein3154.fasta	GCA_000967445	FO393392.1	1010970	1011612	3154	GntR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1F0CJ14
GCA-000007265-protein302.fasta	GCA_000007265	AE009948.1	322250	322565	302	DNA-directed RNA polymerase subunit omega	http://purl.uniprot.org/uniprot/E7S6B6
GCA-000730255-protein591.fasta	GCA_000730255	CP007632.1	606130	607624	591	phage portal protein	http://purl.uniprot.org/uniparc/UPI0002B96902
GCA-001275545-protein3688.fasta	GCA_001275545	CP012419.2	1802707	1803583	3688	33 kDa chaperonin	http://purl.uniprot.org/uniprot/Q3JZ62
GCA-000730215-protein2309.fasta	GCA_000730215	CP007631.2	334973	335729	2309	Transcriptional regulator, DeoR family	http://purl.uniprot.org/uniprot/E7S6A4
GCA-000427075-protein3504.fasta	GCA_000427075	HF952105.1	1506521	1507466	3504	GTPase Era	http://purl.uniprot.org/uniprot/E7S374
GCA-000831105-protein1895.fasta	GCA_000831105	CP007572.1	1988094	1988610	1895	Galactose-6-phosphate isomerase subunit LacB	http://purl.uniprot.org/uniprot/Q3JZ19
GCA-000689235-protein1812.fasta	GCA_000689235	HG939456.1	1887694	1888444	1812	Peptidase	http://purl.uniprot.org/uniprot/A0A0H1UGW3
GCA-000831105-protein1609.fasta	GCA_000831105	CP007572.1	1687104	1688313	1609	Serine/threonine transporter SstT	http://purl.uniprot.org/uniprot/Q8E3S4
GCA-000599965-protein1066.fasta	GCA_000599965	CP007482.1	1059626	1060187	1066		
GCA-000007265-protein602.fasta	GCA_000007265	AE009948.1	606714	608034	602	Histidine kinase	http://purl.uniprot.org/uniprot/S9KM27
GCA-000831105-protein1572.fasta	GCA_000831105	CP007572.1	1651903	1652683	1572		
GCA-001190885-protein2739.fasta	GCA_001190885	CP011329.1	935968	936607	2739	Chloramphenicol acetyltransferase	http://purl.uniprot.org/uniprot/F8Y053
GCA-001190805-protein2702.fasta	GCA_001190805	CP011325.1	731470	732937	2702	Alpha-amylase	http://purl.uniprot.org/uniprot/A0A1F0CJK3
GCA-000007265-protein2050.fasta	GCA_000007265	AE009948.1	2097431	2098553	2050	MloA	http://purl.uniprot.org/uniprot/A0A1A9E3X2
GCA-000599965-protein1397.fasta	GCA_000599965	CP007482.1	1379311	1379578	1397		
GCA-000689235-protein347.fasta	GCA_000689235	HG939456.1	377645	379067	347	Xanthine/uracil permease family protein	http://purl.uniprot.org/uniprot/Q8E1I9
GCA-001552035-protein3972.fasta	GCA_001552035	CP012480.1	1955639	1956845	3972	Glycosyltransferase, family 8	http://purl.uniprot.org/uniprot/E7S1L8
GCA-000730215-protein2186.fasta	GCA_000730215	CP007631.2	210957	212988	2186	PTS system, IIABC components	http://purl.uniprot.org/uniprot/F8XY35
GCA-001552035-protein2769.fasta	GCA_001552035	CP012480.1	713845	714169	2769	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1S1FFX2
GCA-001592385-protein1351.fasta	GCA_001592385	CP010874.1	1391863	1393423	1351	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y204
GCA-000599965-protein34.fasta	GCA_000599965	CP007482.1	42275	43640	34		
GCA-001026925-protein994.fasta	GCA_001026925	CP010867.1	1055931	1056348	994	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EMW9
GCA-000689235-protein698.fasta	GCA_000689235	HG939456.1	735868	736717	698	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00003D2B42
GCA-000007265-protein1824.fasta	GCA_000007265	AE009948.1	1865520	1865925	1824	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8DXG7
GCA-000302475-protein1534.fasta	GCA_000302475	CP003919.1	1545037	1547137	1534		
GCA-000599965-protein12.fasta	GCA_000599965	CP007482.1	13469	14012	12	Hypoxanthine-guanine phosphoribosyltransferase	http://purl.uniprot.org/uniprot/Q8E2H3
GCA-001190885-protein3078.fasta	GCA_001190885	CP011329.1	1282494	1282725	3078	CHAP domain protein	http://purl.uniprot.org/uniprot/G5KBH5
GCA-000427075-protein2564.fasta	GCA_000427075	HF952105.1	579253	579871	2564	LysE family translocator	http://purl.uniprot.org/uniparc/UPI000332E388
GCA-001655175-protein880.fasta	GCA_001655175	CP015976.1	895869	896748	880		
GCA-000427075-protein2653.fasta	GCA_000427075	HF952105.1	638490	638925	2653	ArpU family transcriptional regulator	http://purl.uniprot.org/uniprot/S8HAT4
GCA-001592385-protein1921.fasta	GCA_001592385	CP010874.1	1955594	1956734	1921	recombinase RecA	http://purl.uniprot.org/uniparc/UPI000311A9A6
GCA-000599965-protein477.fasta	GCA_000599965	CP007482.1	472753	473134	477	Rhodanese-like domain-containing protein	http://purl.uniprot.org/uniprot/F8XYV2
GCA-000427055-protein1865.fasta	GCA_000427055	HF952106.1	1880301	1880532	1865		
GCA-000007265-protein1680.fasta	GCA_000007265	AE009948.1	1730272	1730932	1680	Crp/Fnr family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1J7VVJ1
GCA-001552035-protein2753.fasta	GCA_001552035	CP012480.1	693149	693773	2753	Integral membrane protein	http://purl.uniprot.org/uniprot/F8XZF7
GCA-001190805-protein3031.fasta	GCA_001190805	CP011325.1	1093922	1095179	3031	Serine hydroxymethyltransferase	http://purl.uniprot.org/uniprot/Q3K122
GCA-000730215-protein2710.fasta	GCA_000730215	CP007631.2	723097	725305	2710	CylI protein	http://purl.uniprot.org/uniprot/A0A0E1EGC3
GCA-000831105-protein592.fasta	GCA_000831105	CP007572.1	610203	610716	592	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1A9DZU6
GCA-000689235-protein1154.fasta	GCA_000689235	HG939456.1	1223196	1224198	1154	Cytosine-specific methyltransferase	http://purl.uniprot.org/uniprot/A0A1J7VKS0
GCA-000007265-protein56.fasta	GCA_000007265	AE009948.1	76700	77327	56	50S ribosomal protein L3	http://purl.uniprot.org/uniprot/E7S766
GCA-000427075-protein3287.fasta	GCA_000427075	HF952105.1	1279676	1279985	3287	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332E2C3
GCA-001190805-protein2215.fasta	GCA_001190805	CP011325.1	221937	222564	2215	Peptide ABC transporter, ATP-binding protein	http://purl.uniprot.org/uniprot/Q8E209
GCA-000427035-protein3807.fasta	GCA_000427035	HF952104.1	2085017	2085575	3807	Putative phage protein	http://purl.uniprot.org/uniprot/A0A076Z3Y9
GCA-000012705-protein2968.fasta	GCA_000012705	CP000114.1	891797	892361	2968	Thiamine transporter	http://purl.uniprot.org/uniprot/S8G7V2
GCA-000689235-protein87.fasta	GCA_000689235	HG939456.1	99482	99827	87	Uncharacterized protein	http://purl.uniprot.org/uniprot/E7S734
GCA-000782855-protein2514.fasta	GCA_000782855	CP006910.1	553840	554629	2514	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB3AD2
GCA-000007265-protein803.fasta	GCA_000007265	AE009948.1	820224	821958	803	Phosphoenolpyruvate-protein phosphotransferase	http://purl.uniprot.org/uniprot/F8XZW6
GCA-000012705-protein2236.fasta	GCA_000012705	CP000114.1	144016	145039	2236	IS30 family transposase ISSag3	http://purl.uniprot.org/uniparc/UPI00005BB1E8
GCA-000427035-protein3814.fasta	GCA_000427035	HF952104.1	2089524	2089746	3814	Putative phage protein	http://purl.uniprot.org/uniprot/A0A076ZDX3
GCA-001190805-protein3569.fasta	GCA_001190805	CP011325.1	1641693	1643133	3569	Invertase	http://purl.uniprot.org/uniprot/Q8DY03
GCA-000007265-protein957.fasta	GCA_000007265	AE009948.1	997150	997804	957	Phosphate-specific transport system accessory protein PhoU	http://purl.uniprot.org/uniprot/E7S4G0
GCA-001552035-protein4090.fasta	GCA_001552035	CP012742.1	3942	4608	4090	Replication protein repB	http://purl.uniprot.org/uniprot/A0A0E9EQV4
GCA-000007265-protein1162.fasta	GCA_000007265	AE009948.1	1200796	1201279	1162	Hydrolase, NUDIX family	http://purl.uniprot.org/uniprot/E7S3W0
GCA-000689235-protein918.fasta	GCA_000689235	HG939456.1	978719	979562	918	DNA protecting protein DprA	http://purl.uniprot.org/uniprot/X5JZS7
GCA-000007265-protein76.fasta	GCA_000007265	AE009948.1	85938	87243	76	Protein translocase subunit SecY	http://purl.uniprot.org/uniprot/E7S746
GCA-000689235-protein661.fasta	GCA_000689235	HG939456.1	696107	696539	661	Gas vesicle protein	http://purl.uniprot.org/uniprot/S8H9G0
GCA-000782855-protein2970.fasta	GCA_000782855	CP006910.1	1027411	1027894	2970	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002B967FE
GCA-000831105-protein668.fasta	GCA_000831105	CP007572.1	675589	677722	668	Cell wall hydrolase	http://purl.uniprot.org/uniprot/A0A1A9E015
GCA-001592385-protein1032.fasta	GCA_001592385	CP010874.1	1062921	1063524	1032	NAD(P)H-dependent oxidoreductase	http://purl.uniprot.org/uniparc/UPI00005BB321
GCA-001592385-protein357.fasta	GCA_001592385	CP010874.1	344655	346611	357	serine/threonine-protein kinase	http://purl.uniprot.org/uniparc/UPI0002E8783F
GCA-001592385-protein1684.fasta	GCA_001592385	CP010874.1	1724462	1725125	1684	Ribulose-phosphate 3-epimerase	http://purl.uniprot.org/uniprot/A0A0E1EJC6
GCA-000831145-protein1137.fasta	GCA_000831145	CP007570.1	1234928	1235894	1137	glycosyltransferase family 2 protein	http://purl.uniprot.org/uniparc/UPI0004ED9D0F
GCA-001266635-protein1868.fasta	GCA_001266635	CP010319.1	1949668	1950412	1868	alpha/beta hydrolase	http://purl.uniprot.org/uniparc/UPI000003AF19
GCA-000007265-protein1800.fasta	GCA_000007265	AE009948.1	1853004	1853547	1800	Phage integrase family protein	http://purl.uniprot.org/uniprot/A0A158LPD3
GCA-001026925-protein786.fasta	GCA_001026925	CP010867.1	830005	830443	786	MarR family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A0T9K6C3
GCA-001266635-protein1179.fasta	GCA_001266635	CP010319.1	1237432	1237675	1179		
GCA-000831105-protein1527.fasta	GCA_000831105	CP007572.1	1605800	1607960	1527	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1A9E2F4
GCA-000730215-protein3635.fasta	GCA_000730215	CP007631.2	1698270	1699446	3635	Replication initiation and membrane attachment protein	http://purl.uniprot.org/uniprot/F8Y2F0
GCA-001592385-protein1347.fasta	GCA_001592385	CP010874.1	1385660	1386986	1347	accessory Sec system glycosylation chaperone GtfB	http://purl.uniprot.org/uniparc/UPI0002E26164
GCA-000007265-protein1245.fasta	GCA_000007265	AE009948.1	1283737	1290562	1245	SNF2 family protein	http://purl.uniprot.org/uniprot/Q8DZ40
GCA-000599965-protein140.fasta	GCA_000599965	CP007482.1	145670	146021	140	Ribosome-binding factor A	http://purl.uniprot.org/uniprot/Q3K301
GCA-001266635-protein416.fasta	GCA_001266635	CP010319.1	437795	438626	416	rhamnulose-1-phosphate aldolase	http://purl.uniprot.org/uniparc/UPI00005BB222
GCA-000730215-protein2324.fasta	GCA_000730215	CP007631.2	355695	356487	2324	Enoyl-CoA hydratase	http://purl.uniprot.org/uniprot/A0A076Z4X0
GCA-000831105-protein609.fasta	GCA_000831105	CP007572.1	618549	619965	609	Terminase	http://purl.uniprot.org/uniprot/A0A1F0CJL2
GCA-000007265-protein826.fasta	GCA_000007265	AE009948.1	845720	846641	826	Ribonuclease BN	http://purl.uniprot.org/uniprot/A0A1J7USI4
GCA-000730255-protein608.fasta	GCA_000730255	CP007632.1	622002	624015	608	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002B9872E
GCA-000689235-protein1146.fasta	GCA_000689235	HG939456.1	1214778	1215981	1146	Integrase	http://purl.uniprot.org/uniprot/A0A1J7UMX9
GCA-001275545-protein2014.fasta	GCA_001275545	CP012419.2	95678	95996	2014	Uncharacterized protein	http://purl.uniprot.org/uniprot/J7KDM7
GCA-000730215-protein3756.fasta	GCA_000730215	CP007631.2	1818877	1820458	3756	Type I restriction-modification system subunit M	http://purl.uniprot.org/uniprot/A0A0E1EJ84
GCA-000007265-protein1714.fasta	GCA_000007265	AE009948.1	1766511	1766925	1714	30S ribosomal protein S12	http://purl.uniprot.org/uniprot/Q3JZB3
GCA-000831145-protein585.fasta	GCA_000831145	CP007570.1	626100	627513	585	Relaxase	http://purl.uniprot.org/uniprot/A0A076YU58
GCA-001592385-protein1132.fasta	GCA_001592385	CP010874.1	1155834	1157091	1132	voltage-gated chloride channel family protein	http://purl.uniprot.org/uniparc/UPI00037128B3
GCA-001448985-protein582.fasta	GCA_001448985	CP013202.1	606774	607218	582		
GCA-000730215-protein3361.fasta	GCA_000730215	CP007631.2	1416067	1416754	3361	Transcriptional regulator	http://purl.uniprot.org/uniprot/A0A075MYT0
GCA-000782855-protein2518.fasta	GCA_000782855	CP006910.1	555409	555637	2518	Uncharacterized protein	http://purl.uniprot.org/uniprot/S8FTX8
GCA-000782855-protein2361.fasta	GCA_000782855	CP006910.1	401098	402739	2361	Putative relaxase	http://purl.uniprot.org/uniprot/S4W938
GCA-000427075-protein2557.fasta	GCA_000427075	HF952105.1	570457	572125	2557	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332E6A0
GCA-000427035-protein2032.fasta	GCA_000427035	HF952104.1	244106	244445	2032	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005C7024
GCA-001552035-protein2773.fasta	GCA_001552035	CP012480.1	717358	718735	2773	DEAD/DEAH box helicase	http://purl.uniprot.org/uniprot/A0A1S1FES4
GCA-001026925-protein848.fasta	GCA_001026925	CP010867.1	894849	896355	848	ATP synthase subunit alpha	http://purl.uniprot.org/uniprot/Q3K1J7
GCA-000831105-protein497.fasta	GCA_000831105	CP007572.1	521289	522645	497	UDP-N-acetylmuramoylalanine--D-glutamate ligase	http://purl.uniprot.org/uniprot/Q8E6P1
GCA-001190885-protein3084.fasta	GCA_001190885	CP011329.1	1288564	1288912	3084	Arsenical resistance operon repressor	http://purl.uniprot.org/uniprot/A0A0Z7Z952
GCA-000427075-protein2686.fasta	GCA_000427075	HF952105.1	664526	664781	2686	phage holin	http://purl.uniprot.org/uniparc/UPI000332DEF3
GCA-000196055-protein388.fasta	GCA_000196055	AL732656.1	396233	397034	388	DNA-entry nuclease	http://purl.uniprot.org/uniprot/S8H297
GCA-001592385-protein1079.fasta	GCA_001592385	CP010874.1	1107737	1108424	1079	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005BB33D
GCA-000196055-protein158.fasta	GCA_000196055	AL732656.1	182854	186535	158	DNA-directed RNA polymerase subunit beta'	http://purl.uniprot.org/uniprot/A0A0G2YZ49
GCA-000730255-protein554.fasta	GCA_000730255	CP007632.1	588770	588986	554	XRE family transcriptional regulator	http://purl.uniprot.org/uniparc/UPI00025FD10B
GCA-001026925-protein1700.fasta	GCA_001026925	CP010867.1	1772372	1773560	1700	Sensor protein DltS	http://purl.uniprot.org/uniprot/Q8DXQ8
GCA-000196055-protein393.fasta	GCA_000196055	AL732656.1	405243	406992	393	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8CM28
GCA-000599965-protein1294.fasta	GCA_000599965	CP007482.1	1282892	1283639	1294		
GCA-000007265-protein1772.fasta	GCA_000007265	AE009948.1	1827350	1827815	1772	Transcriptional regulator CtsR	http://purl.uniprot.org/uniprot/E7S2B1
GCA-001592385-protein1664.fasta	GCA_001592385	CP010874.1	1704815	1705841	1664	aminotransferase class V-fold PLP-dependent enzyme	http://purl.uniprot.org/uniparc/UPI00005BB40B
GCA-000427075-protein3941.fasta	GCA_000427075	HF952105.1	1936071	1937277	3941	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332D90A
GCA-001592385-protein2018.fasta	GCA_001592385	CP010874.1	2042203	2043487	2018	Peptidase M16	http://purl.uniprot.org/uniprot/A0A0H1LW52
GCA-001190805-protein2761.fasta	GCA_001190805	CP011325.1	795895	796942	2761	D-alanine--D-alanine ligase	http://purl.uniprot.org/uniprot/Q8E640
GCA-000782855-protein2337.fasta	GCA_000782855	CP006910.1	376171	376471	2337	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB5BBE
GCA-000196055-protein1326.fasta	GCA_000196055	AL732656.1	1373131	1373449	1326	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4S5
GCA-000007265-protein1223.fasta	GCA_000007265	AE009948.1	1268733	1269102	1223	Cadmium efflux system accessory protein	http://purl.uniprot.org/uniprot/D3VND2
GCA-000427035-protein3804.fasta	GCA_000427035	HF952104.1	2083589	2083877	3804	Addiction module antitoxin, RelB/DinJ family	http://purl.uniprot.org/uniprot/E7S1C9
GCA-000730215-protein3345.fasta	GCA_000730215	CP007631.2	1401995	1403222	3345	ATP-dependent Clp protease ATP-binding subunit ClpX	http://purl.uniprot.org/uniprot/Q3K0K0
GCA-000007265-protein859.fasta	GCA_000007265	AE009948.1	886410	887409	859	Transketolase, pyridine binding domain protein	http://purl.uniprot.org/uniprot/E7S4N8
GCA-001552035-protein4089.fasta	GCA_001552035	CP012742.1	3749	3956	4089	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E9EPA5
GCA-000012705-protein4133.fasta	GCA_000012705	CP000114.1	2082242	2082857	4133	XRE family transcriptional regulator	http://purl.uniprot.org/uniparc/UPI00005BB4E0
GCA-001592385-protein1021.fasta	GCA_001592385	CP010874.1	1051996	1053730	1021	ABC transporter ATP-binding protein	http://purl.uniprot.org/uniparc/UPI00005BB31B
GCA-000967445-protein3593.fasta	GCA_000967445	FO393392.1	1432567	1432819	3593	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8DY36
GCA-000007265-protein1306.fasta	GCA_000007265	AE009948.1	1353665	1354046	1306	Transposase	http://purl.uniprot.org/uniprot/S8H970
GCA-000427075-protein3139.fasta	GCA_000427075	HF952105.1	1139740	1140388	3139		
GCA-001266635-protein1148.fasta	GCA_001266635	CP010319.1	1201942	1202719	1148	toxin PezT	http://purl.uniprot.org/uniparc/UPI0004242139
GCA-000730215-protein4157.fasta	GCA_000730215	CP007631.2	2206921	2207935	4157	Ornithine carbamoyltransferase	http://purl.uniprot.org/uniprot/F8Y3Y9
GCA-001592385-protein445.fasta	GCA_001592385	CP010874.1	432490	433102	445		
GCA-000427035-protein2726.fasta	GCA_000427035	HF952104.1	987478	988888	2726	FtsKSpoIIIE family protein	http://purl.uniprot.org/uniprot/A0A0H1WB60
GCA-001026925-protein1688.fasta	GCA_001026925	CP010867.1	1763417	1763867	1688	Histidine triad protein	http://purl.uniprot.org/uniprot/A0A0E1EJN0
GCA-000782855-protein2530.fasta	GCA_000782855	CP006910.1	565454	565673	2530	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BBFCE7
GCA-000007265-protein871.fasta	GCA_000007265	AE009948.1	899547	900285	871	Acyl-ACP thioesterase	http://purl.uniprot.org/uniprot/E7S4M6
GCA-001026925-protein541.fasta	GCA_001026925	CP010867.1	565792	566059	541	Integrase	http://purl.uniprot.org/uniprot/A0A1J7WP49
GCA-000599965-protein51.fasta	GCA_000599965	CP007482.1	61028	61832	51	Amino acid ABC transporter permease	http://purl.uniprot.org/uniprot/R4Z847
GCA-001592385-protein1962.fasta	GCA_001592385	CP010874.1	1994070	1994742	1962	Peptidase	http://purl.uniprot.org/uniprot/A0A0E1EKE0
GCA-000730255-protein219.fasta	GCA_000730255	CP007632.1	237101	239426	219	type I restriction endonuclease subunit R	http://purl.uniprot.org/uniparc/UPI00005C870F
GCA-000730215-protein3042.fasta	GCA_000730215	CP007631.2	1085440	1086727	3042	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EHM9
GCA-000196055-protein1328.fasta	GCA_000196055	AL732656.1	1374098	1374992	1328	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4S3
GCA-000689235-protein1770.fasta	GCA_000689235	HG939456.1	1849759	1850551	1770	Cell wall surface anchor family protein, putative	http://purl.uniprot.org/uniprot/F8Y3H6
GCA-001592385-protein1725.fasta	GCA_001592385	CP010874.1	1764550	1765006	1725	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005BB42E
GCA-000689235-protein1148.fasta	GCA_000689235	HG939456.1	1216260	1217130	1148	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1J7V3Q0
GCA-000730215-protein3319.fasta	GCA_000730215	CP007631.2	1378440	1379031	3319	Abortive phage infection protein	http://purl.uniprot.org/uniprot/A0A0E1ENP6
GCA-001592385-protein1756.fasta	GCA_001592385	CP010874.1	1798131	1802538	1756	PolC-type DNA polymerase III	http://purl.uniprot.org/uniparc/UPI00005C85A5
